Syllable,Suggested Word,Word Pinyin,HSK Level,Frequency Rank,Has Image,Image File,Concreteness,AoA,Num Syllables,Score,approved
que,孔雀,kǒng què,-,365,Yes,peacock.png,5,8.2,2,-2828.96,True
qun,围裙,wéi qún,-,7444,Yes,apron.jpg,4.87,4.0,2,-635.46,True
ran,点燃,diǎn rán,-,1109,Yes,ignite.gif,4.04,2.7,2,-2778.69,True
rang,土壤,tǔ rǎng,-,41,Yes,soil.png,4.87,3.7,1,-1896.10,True
rao,打扰,dǎ rǎo,-,3469,Yes,disturb.png,3.04,4.0,2,-1341.15,True
reng,扔,rēng,5,753,Yes,throw.jpg,4.04,4.0,1,-1788.42,False
rong,容器,róng qì,-,627,Yes,container.png,4.85,12.5,2,-1430.94,True
rou,肉,ròu,1,1184,Yes,meat.jpeg,4.30,8.3,1,-514.88,True
ru,蠕虫,rú chóng,-,3629,Yes,worm.jpeg,4.9,8.6,2,-3059.54,True
ruan,软泥,ruǎn ní,-,3743,Yes,ooze.jpg,4,4.0,1,-368.13,True
rui,锐化,ruì huà,-,-,Yes,sharpen.gif,3.72,-,-,-,
run,湿润,shī rùn,5,6286,Yes,shirun.png,-,-,2,1454.63,False
ruo,虚弱,xū ruò,-,1703,Yes,feeble.jpg,2.59,3.7,1,-2835.93,True
sa,洒,sǎ,5,4927,Yes,spill.jpg,4.07,4.0,1,-273.01,False
sai,鳃,sāi,-,1601,Yes,gill.jpg,4.33,2.9,1,-1178.94,True
sang,丧失,sàng shī,6,4961,No,,2.25,4.0,2,-981.00,
sen,森林,sēn lín,-,-,Yes,thick_forest.jpeg,-,-,-,-,True
seng,僧,sēng,-,-,Yes,monk.jpg,4.35,-,-,-,False
shai,防晒霜,fáng shài shuāng,-,4593,Yes,sunblock.png,-,11.7,1,-405.74,True
shang,上,shàng,1,1212,Yes,up.png,1.43,4.0,2,-3390.78,False
shao,勺子,sháo zi,6,11894,Yes,spoon.jpg,1.63,2.5,1,-2906.81,False
shen,身体,shēn tǐ,1,460,Yes,body.png,1.43,4.0,2,-3390.55,False
sheng,声音,shēng yīn,5,729,Yes,sound.jpg,1.63,3.7,1,-2995.73,False
shua,牙刷,yá shuā,4,8356,Yes,toothbrush.jpg,5.00,4.3,2,-1301.86,False
shuan,螺栓,luó shuān,-,-,Yes,bolt.png,4.67,-,-,-,False
shuang,双手,shuāng shǒu,5,4022,Yes,hands.jpg,2.97,4.8,2,-2212.90,False
shun,吮吸,shǔn xī,6,3103,Yes,suck.jpg,2.67,4.0,1,-2373.19,False
song,松鼠,sōng shǔ,-,1561,Yes,squirrel.jpg,4.89,4.0,2,-2825.34,True
sou,咳嗽,ké sou,-,2434,Yes,cough.gif,4.36,2.9,2,-1401.86,True
su,雕塑,diāo sù,-,3988,Yes,sculpture.png,4.79,8.6,2,-2099.40,True
suan,酸,suān,5,3519,Yes,sour.png,3.04,4.0,2,-2185.25,False
sui,碎石,suì shí,-,1405,Yes,gravel.jpg,5,4.0,1,-3008.36,True
sun,孙子,sūn zi,-,7226,Yes,grandson.png,4.3,4.0,2,-895.78,True
tan,木炭,mù tàn,-,11134,Yes,charcoal.jpg,4.85,4.0,2,-970.39,True
tang,棒棒糖,bàng bàng táng,-,1295,Yes,lollipop.jpg,4.96,4.0,1,-2353.37,True
teng,藤,téng,-,22487,Yes,vine.jpg,4.86,4.0,2,-2889.25,True
ti,自动扶梯,zì dòng fú tī,-,7237,Yes,escalator.jpg,5,14.3,2,-2336.98,True
tian,今天,jīn tiān,1,174,Yes,today.jpg,1.43,4.0,2,-3391.18,False
tiao,跳,tiào,3,404,Yes,jump.png,4.07,4.0,1,-1973.46,False
tong,同学,tóng xué,1,2391,Yes,classmate.jpg,2.64,4.0,2,-2786.26,False
tuan,面团,miàn tuán,-,2279,Yes,dough.jpg,4.79,8.5,1,-1902.77,True
tui,腿,tuǐ,2,840,Yes,leg.jpg,2.72,6.2,1,-2726.22,False
tuo,拖拉机,tuō lā jī,-,4095,Yes,tractor.jpeg,5,4.0,2,-1851.09,True
wan,手腕,shǒu wàn,-,1709,Yes,wrist.png,4.93,3.6,2,-2945.03,True
wei,座位,zuò wèi,2,239,Yes,seat.jpg,1.63,8.7,1,-3245.78,False
wen,语文,yǔ wén,1,9441,Yes,chinese_language.jpg,2.35,-,2,-2770.06,False
weng,嗡嗡声,wēng wēng shēng,-,-,Yes,buzzing.png,3.5,-,-,-,True
xian,苔藓,tái xiǎn,-,860,Yes,moss.jpeg,4.9,4.4,2,-3187.01,True
xiang,海象,hǎi xiàng,-,1855,Yes,walrus.jpg,5,3.7,1,-3295.61,True
xiong,熊,Xióng,5,1785,Yes,bear.jpg,2.79,3.6,1,-2417.02,False
xu,胡须,hú xū,-,5365,Yes,beard.jpg,4.96,4.0,2,-2945.96,True
xuan,旋转木马,xuán zhuǎn mù mǎ,-,10457,Yes,carousel.jpg,4.93,4.0,2,-1390.45,True
xun,勋章,xūn zhāng,-,6030,Yes,medal.jpg,4.89,4.0,2,-2235.90,True
ye,夜里,yè li,2,5569,Yes,nighttime.jpg,1.43,6.8,2,-3262.44,False
ying,影子,yǐng zi,4,5237,Yes,shadow.jpg,1.97,10.3,2,-2757.28,False
yo,NONE,-,-,-,No,,-,-,-,-,
yong,游泳,yóu yǒng,-,806,Yes,swim.jpg,4.43,3.6,2,-3070.32,True
yu,宇航服,yǔ háng fú,-,21317,Yes,spacesuit.png,4.96,-,2,-2768.87,True
yue,月亮,yuè liang,2,4506,Yes,moon.jpg,1.43,4.0,2,-3290.75,False
za,杂草,zá cǎo,-,1517,Yes,weed.png,4.9,11.2,2,-1353.75,True
zan,称赞,chēng zàn,-,2774,Yes,praise.png,2.61,5.0,1,-1882.32,True
zang,弄脏,nòng zāng,-,1818,Yes,stain.jpg,4.59,4.5,1,-2337.32,True
ze,沼泽,zhǎo zé,-,771,Yes,swamp.jpg,4.96,4.0,2,-1591.42,True
zei,窃贼,qiè zéi,-,-,Yes,burglar.jpg,4.44,-,-,-,True
zeng,曾,Zēng,4,643,No,,2.18,5.3,1,-1305.34,
zha,炸弹,zhà dàn,-,1619,Yes,bomb.gif,4.84,4.0,1,-1838.34,True
zhai,摘,zhāi,-,6106,Yes,pluck_1.jpg,4,10.4,1,-782.99,False
zhan,车站,chē zhàn,4,1514,Yes,bus_stop.jpg,2.07,4.0,2,-2771.35,False
zhao,沼泽,zhǎo zé,-,94,Yes,swamp.jpg,4.96,4.0,1,-3393.49,True
zhe,这里,zhè lǐ,1,76,Yes,here.png,2.10,3.7,2,-3058.59,False
zheng,证书,zhài wù zhèng shū,-,2357,Yes,certificate_1.jpg,4.59,4.0,2,-3091.26,True
zhong,种子,zhǒng zi,3,247,Yes,seed.jpg,1.63,4.0,1,-3193.48,False
zhou,粥,zhōu,2,375,Yes,congee.jpg,2.46,3.7,1,-2881.26,False
zhua,爪子,zhuǎ zi,-,407,Yes,paw.jpg,4.3,4.0,1,-2078.46,True
zhuai,转,zhuǎi,3,660,Yes,change.png,3.44,3.1,1,-2297.33,
zhuan,旋转木马,xuán zhuǎn mù mǎ,-,4132,Yes,carousel.jpg,4.93,4.0,2,-2701.09,True
zhuang,村庄,cūn zhuāng,-,3584,Yes,village.jpg,4.89,9.7,2,-2583.94,True
zhui,吊坠,diào zhuì,-,10429,Yes,pendant_1.jpg,4.75,4.0,2,-2470.46,True
zhun,准备,zhǔn bèi,-,1288,Yes,prepare.png,2.36,3.7,1,-1645.97,True
zhuo,桌子,zhuō zi,1,1651,Yes,table.png,4.90,5.6,2,-1640.23,False
zong,鬃毛,zōng máo,-,2111,Yes,mane.png,4.73,3.7,2,-2618.89,True
zuan,钻,zuàn,6,3090,Yes,drill.gif,2.96,11.7,1,-2150.89,False
zun,尊重,zūn zhòng,-,2185,Yes,respect_1.jpg,2.04,4.0,2,-1291.28,True
